Nome da equipe,Treinador,Capitão,Divisão,Site
Flamengo,Renato Gaúcho,Diego Alves,1ª,www.flamengo.com.br
Corinthians,Sylvinho,Fagner,1ª,www.corinthians.com.br
Palmeiras,Abel Ferreira,Gustavo Gómez,1ª,www.palmeiras.com.br
São Paulo,Hernán Crespo,Dani Alves,1ª,www.saopaulofc.net
Santos,Fernando Diniz,John,1ª,www.santosfc.com.br
Internacional,Miguel Ángel Ramírez,Thiago Galhardo,1ª,www.internacional.com.br
Grêmio,Tiago Nunes,Maicon,1ª,www.gremio.net
Atlético Mineiro,Cuca,Réver,1ª,www.atletico.com.br
Fluminense,Roger Machado,Nino,1ª,www.fluminense.com.br
Athletico Paranaense,António Oliveira,Thiago Heleno,1ª,www.athletico.com.br
Coritiba,Gustavo Morínigo,Wilson,2ª,www.coritiba.com.br
Avaí,Claudinei Oliveira,Betão,2ª,www.avai.com.br
Botafogo,Marcelo Chamusca,Pedro Castro,2ª,www.botafogo.com.br
Cuiabá,Alberto Valentim,Rafael Gava,1ª,www.cuiabaesporteclube.com.br
Figueirense,Elano Blumer,Matheus Neris,3ª,www.figueirense.com.br
Fortaleza,Juan Pablo Vojvoda,Wellington Paulista,1ª,www.fortaleza1918.com.br
Goiás,Marcelo Cabo,David Duarte,2ª,www.goiasec.com.br
Juventude,Marquinhos Santos,Rafael Forster,1ª,www.juventude.com.br
Ponte Preta,Fábio Moreno,Dawhan,2ª,www.pontepreta.com.br
Santa Cruz,Roberto Fernandes,William Alves,3ª,www.santacruzpe.com.br
