Nome do Estádio,Capacidade,Latitude,Longitude,Nome da Equipe,Treinador,Capitão,Divisão,Site
Maracanã,78.838,-22.912.214,-43.230.182,Flamengo,Renato Gaúcho,Diego Alves,1ª,www.flamengo.com.br
Neo Química Arena,48.234,-23.545.275,-46.474.331,Corinthians,Sylvinho,Fagner,1ª,www.corinthians.com.br
Allianz Parque,55.000,-23.526.786,-46.674.311,Palmeiras,Abel Ferreira,Gustavo Gómez,1ª,www.palmeiras.com.br
Morumbi,67.428,-23.602.364,-46.699.141,São Paulo,Hernán Crespo,Dani Alves,1ª,www.saopaulofc.net
Vila Belmiro,16.068,-23.967.196,-46.331.293,Santos,Fernando Diniz,John,1ª,www.santosfc.com.br
Beira-Rio,50.128,-30.064.082,-51.231.611,Internacional,Miguel Ángel Ramírez,Thiago Galhardo,1ª,www.internacional.com.br
Arena do Grêmio,55.662,-29.975.255,-51.231.819,Grêmio,Tiago Nunes,Maicon,1ª,www.gremio.net
Mineirão,62.547,-19.864.444,-43.971.111,Atlético Mineiro,Cuca,Réver,1ª,www.atletico.com.br
Maracanã,78.838,-22.912.214,-43.230.182,Fluminense,Roger Machado,Nino,1ª,www.fluminense.com.br
Arena da Baixada,42.372,-25.439.056,-49.271.569,Athletico Paranaense,António Oliveira,Thiago Heleno,1ª,www.athletico.com.br
Couto Pereira,40.502,-25.451.111,-49.249.167,Coritiba,Gustavo Morínigo,Wilson,2ª,www.coritiba.com.br
Ressacada,17.600,-27.590.286,-48.548.831,Avaí,Claudinei Oliveira,Betão,2ª,www.avai.com.br
Engenhão,46.931,-22.880.044,-43.290.536,Botafogo,Marcelo Chamusca,Pedro,3ª,www.guiadasemana.com.br/rio-de-janeiro/esportes/estabelecimento/estadio-engenhao-estadio-nilton-santos
Nilton Santos,46.931,-22.870,-43.288,Botafogo,Marcelo Chamusca,Pedro Castro,2ª,www.botafogo.com.br
Couto Pereira,40.502,-254.383,-492.594,Figueirense,Elano Blumer,Matheus Neris,3ª,www.figueirense.com.br
Arena Condá,19.000,-270.869,-526.042,Fortaleza,Juan Pablo Vojvoda,Wellington Paulista,1ª,www.fortaleza1918.com.br
Barradão,35.200,-129.025,-384.206,Goiás,Marcelo Cabo,David Duarte,2ª,www.goiasec.com.br
Durival Britto,20.083,-254.108,-492.458,Juventude,Marquinhos Santos,Rafael Forster,1ª,www.juventude.com.br
Independência,23.018,-199.103,-439.172,Ponte Preta,Fábio Moreno,Dawhan,2ª,www.pontepreta.com.br
Ilha do Retiro,32.983,-80.589,-349.003,Santa Cruz,Roberto Fernandes,William Alves,3ª,www.santacruzpe.com.br
