Nome do estádio,Capacidade,Latitude,Longitude
Maracanã,78.838,-229.122,-432.302
Mineirão,61.846,-198.644,-439.717
Castelão,63.903,-37.762,-385.592
Arena Corinthians,49.205,-235.468,-464.747
Beira-Rio,50.128,-300.655,-512.351
Morumbi,67.428,-236.022,-467.192
Arena da Baixada,43.012,-254.439,-492.759
Fonte Nova,47.907,-129.783,-385.042
Allianz Parque,43.713,-235.275,-467.126
Arena do Grêmio,55.662,-300.658,-512.352
Vila Belmiro,16.256,-239.644,-463.308
Pacaembu,40.199,-235.475,-466.693
São Januário,21.880,-228.939,-432.292
Arena Pernambuco,46.154,-80.076,-349.491
Couto Pereira,40.502,-254.383,-492.594
Arena Condá,19.000,-270.869,-526.042
Barradão,35.200,-129.025,-384.206
Durival Britto,20.083,-254.108,-492.458
Independência,23.018,-199.103,-439.172
Ilha do Retiro,32.983,-80.589,-349.003
